Event ID,city,latitude,longitude
650,Kabul,34.516895,69.147014
651,Altenberg,50.765615,13.758394
652,Unknown,36.37763,3.896235
653,Shaykh Uthman,12.86714,44.983957
654,Mar Gat,30.133091,67.284681
655,Shidley,4.072346,42.335101
656,Taizz,13.586484,44.024105
657,Quetta,30.20082,66.994352
658,Kulay Bato,6.665912,122.154839
659,Matibay,6.66164,122.106423
660,Kingking,7.150026,125.949867
661,Pantar,8.018492,124.483303
662,Benghazi,32.069287,20.151145
663,Benghazi,32.069287,20.151145
664,Nguetchewe,10.999536,13.941315
665,Tekoa,31.6528,35.229585
666,Sirnak,37.517549,42.451647
667,Sur district,38.064584,40.381766
668,Abu Ghraib,33.31065,44.038206
669,Baghdad,33.303567,44.371771
670,Satih,33.099867,44.582839
671,Kilis,36.71928,37.11557
672,Gotpalli,18.635549,81.059742
673,Quetta,30.20082,66.994352
674,Bujumbura,-3.375828,29.364107
675,Thepha district,6.787479,100.930998
676,Thepha district,6.787479,100.930998
677,Puli Khumri,35.947551,68.710329
678,Ludhiana,30.898023,75.860075
679,Nierteti,12.977884,23.358972
680,Shaykh Uthman,12.86714,44.983957
681,Mahalang,10.089791,122.868499
682,Baqubah,33.743239,44.623824
683,Petah Tikva,32.08916,34.883818
684,El Adde,3.328921,42.355047
685,Koto Tuera,6.491712,101.392511
686,Muqdadiyah,33.953165,44.921904
687,Mingora,34.774478,72.364052
688,Tame district,6.457271,-71.745634
689,Jamrud,34.002577,71.38248
690,Benina,32.094951,20.268871
691,Zaranj,30.959932,61.868948
692,Benghazi,32.069287,20.151145
693,Derna,32.765539,22.621115
694,Mopti,14.484001,-4.184428
695,Shiwar,14.188971,44.002315
696,Al-Ahmul,14.181738,43.988298
697,Sur district,38.064584,40.381766
698,Sur district,38.064584,40.381766
699,Tamboura,5.178396,25.199341
700,Bughailiyeh,35.386971,40.088795
701,Baghdad,33.303567,44.371771
702,Hawr Rajab,33.19392,44.408578
703,Tarmiyah,33.66969,44.381316
704,Taji,33.540671,44.251268
705,Nasiriyah,31.044371,46.261451
706,Baghdad,33.303567,44.371771
707,Mosul,36.354146,43.143571
708,Diphu,25.846196,93.42988
709,Arish,31.126646,33.800864
710,Al-Tin,34.880964,44.620763
711,Kunjak,35.701718,63.843238
712,Madurai,9.925201,78.119775
